run_id,pattern_id,parent_route_id,direction_id,name,city,start_stop_name,end_stop_name,start_stop_key,end_stop_key,geometry_source,evidence_kind,centroid_easting,centroid_northing,centroid_lon,centroid_lat,start_lon,start_lat,end_lon,end_lat,endpoint_separation_m,bearing_deg,heading_reason,axial_cos2,axial_sin2,orientation_strength,corridor_deg,corridor_reason,length_km,distance_to_reference_km,distance_to_city_hall_km,river_crossing_status,river_crossing,metro_proximity
00785592a53aa515ec69,Taipei:11812:162475:0:55b8ed7dac6f579b,Taipei:11812,0,和平幹線,Taipei,萬芳社區,二二八和平公園,stop:f10f01e1a6ce7037,stop:c4defcaac82f7e99,official_shape_verified,estimated,304784.50885185413,2768416.869700812,121.54283845836551,25.022837538730084,121.57045699999999,25.001753000000004,121.51254391631102,25.042368552299298,7375.8082035439875,307.356427799525,,-0.22388516497212854,-0.2758478658907179,0.35526977384948005,115.46816733060994,,12.457323445189846,3.6449985470752146,3.0409102636845584,no_intersection_in_mapped_water,0.0,0.640625
00785592a53aa515ec69,Taipei:11812:162475:1:b61858a285a30fc0,Taipei:11812,1,和平幹線,Taipei,博愛路,萬芳社區,stop:1fae663bcb258915,stop:8109eb5dfc3c5eeb,official_shape_verified,estimated,304680.58809920086,2768488.90232038,121.54181163917124,25.023491601847443,121.51155500000002,25.043261999999995,121.569815966856,25.00225335269659,7430.173864725418,127.45785758230423,,-0.30383081827269304,-0.23636567004028639,0.38494401684640817,108.94059419449069,,12.856369108580614,3.5206891333978603,3.072076534480714,unverified_bridge,,0.625
00785592a53aa515ec69,Taipei:11813:118130:0:3f385d7f0303f9df,Taipei:11813,0,109,Taipei,萬芳社區,陽明山國家公園管理處,stop:f10f01e1a6ce7037,stop:a343bacb637a5196,official_shape_verified,estimated,304601.18046098936,2773906.9879745473,121.54123955332564,25.072408511166625,121.57045699999999,25.001753000000004,121.5446930506861,25.15388727650192,17050.757067448056,350.99580683837337,,0.34947344084977716,-0.020628429070117374,0.35008173037918383,178.31095591065645,,26.941666983821356,3.764743842667471,4.223707020368922,verified_geometry,1.0,0.453125
00785592a53aa515ec69,Taipei:11813:118130:1:79a5d4a00c9f7f0a,Taipei:11813,1,109,Taipei,陽明山國家公園管理處,萬芳社區,stop:cef5230ee8ef085d,stop:8109eb5dfc3c5eeb,official_shape_verified,estimated,304571.9562360934,2773926.7924717437,121.54095066095942,25.072588359881635,121.5446930506861,25.15388727650192,121.569815966856,25.00225335269659,16986.214216278517,171.18304135871816,,0.35428573124041457,-0.018097197282003825,0.3547476397525698,178.53791374273206,,26.789995481962787,3.761656219176614,4.256764911041349,verified_geometry,1.0,0.421875
00785592a53aa515ec69,Taipei:11815:118150:0:bae9510228de5abb,Taipei:11815,0,606,Taipei,萬芳社區,保一總隊,stop:f10f01e1a6ce7037,stop:832bcd0ddd1046cf,official_shape_verified,estimated,303935.78988749516,2771666.1350578554,121.53455624527852,25.0522021884821,121.57045699999999,25.001753000000004,121.51737999999999,25.11904,14051.94422616946,337.3678983734841,,0.22534362365589006,-0.10963439858561004,0.2505981845017953,,orientation_strength_below_0.3,21.366355827720813,1.8495039321200155,3.330055423429896,verified_geometry,1.0,0.640625
00785592a53aa515ec69,Taipei:11815:118150:1:1690f714c19b6a88,Taipei:11815,1,606,Taipei,榮總,萬芳社區,stop:c5b2d2f4667fc0be,stop:8109eb5dfc3c5eeb,official_shape_verified,estimated,303850.08794167236,2771825.021319516,121.5337130960284,25.053639656039664,121.51968525315002,25.118566825762805,121.569815966856,25.00225335269659,13840.936019651837,158.33516008021905,,0.23939093890339638,-0.11491121423529925,0.26554210360332786,,orientation_strength_below_0.3,21.26463614363264,1.8357204449821356,3.4695442310122186,verified_geometry,1.0,0.671875
00785592a53aa515ec69,Taipei:11821:118210:0:2ab2483155322a27,Taipei:11821,0,33,Taipei,永春高中,美麗華,stop:1f24f6cc7dc29377,stop:0aa23d6c18aed7d4,official_shape_verified,estimated,306377.71918609453,2771401.6269510067,121.55874643119938,25.049725170701823,121.57978043047102,25.033446067050306,121.558196913178,25.0845384449731,6063.8824654722885,338.7125756508581,,0.19795241786178053,0.02647853033017016,0.19971547838305048,,orientation_strength_below_0.3,14.322588881307468,4.186110664606861,1.1524145754157926,verified_geometry,1.0,0.828125
00785592a53aa515ec69,Taipei:11821:118210:1:d700e3f209281afe,Taipei:11821,1,33,Taipei,敬業四路,永春高中,stop:a6ca47330929cc28,stop:783ae1234934ab8d,official_shape_verified,estimated,306375.61148276174,2771532.365737844,121.55873089303728,25.050905544707682,121.5584464,25.08185576,121.57967250000002,25.033484449999996,5770.123282346648,157.97170487873024,,0.2373863517972687,0.013288364898700271,0.23775798758674255,,orientation_strength_below_0.3,15.278445264090397,4.198634254523821,1.2628357070577017,verified_geometry,1.0,0.78125
00785592a53aa515ec69,Taipei:11821:162167:0:3df074cf5aa5d41a,Taipei:11821,0,33,Taipei,永春高中,美麗華,stop:1f24f6cc7dc29377,stop:0aa23d6c18aed7d4,official_shape_verified,estimated,306371.130634292,2771406.5460322117,121.55868133732191,25.049769825222608,121.57978043047102,25.033446067050306,121.558196913178,25.0845384449731,6063.8824654722885,338.7125756508581,,0.1991324777678719,0.029848310791895566,0.2013570593724034,,orientation_strength_below_0.3,14.275414953173815,4.18003043903893,1.1602263160716424,verified_geometry,1.0,0.8125
00785592a53aa515ec69,Taipei:11821:162167:1:ea23812176ea8c9a,Taipei:11821,1,33,Taipei,敬業四路,永春高中,stop:a6ca47330929cc28,stop:783ae1234934ab8d,official_shape_verified,estimated,306356.4979354322,2771547.8114018184,121.55854210028234,25.0510456988591,121.5584464,25.08185576,121.57967250000002,25.033484449999996,5770.123282346648,157.97170487873024,,0.23112541934890135,0.009388914929844025,0.23131604179728943,,orientation_strength_below_0.3,15.137298906222313,4.181678543860139,1.2860439213912689,verified_geometry,1.0,0.796875
