metric,pair_scope,hundred_relation,number_gap_bin,pair_count,finite_pair_count,nonfinite_pair_count,parent_count,median,p25,p75,p90,unit,inference
topology,within_NewTaipei,cross_hundred,1–9,27,27,0,18,1,0.936367213726,1,1,Jaccard_dissimilarity_0_to_1,descriptive_dependent_pairs
geometry,within_NewTaipei,cross_hundred,10–49,1102,1102,0,168,18812.7744141,10357.0212402,27811.171875,37246.9617187,metres_mean_aligned_point_distance,descriptive_dependent_pairs
topology,within_NewTaipei,cross_hundred,10–49,1102,1102,0,168,1,1,1,1,Jaccard_dissimilarity_0_to_1,descriptive_dependent_pairs
geometry,within_NewTaipei,cross_hundred,50–99,2678,2678,0,204,17045.1542969,9304.59838867,25386.2192383,36871.1355469,metres_mean_aligned_point_distance,descriptive_dependent_pairs
topology,within_NewTaipei,cross_hundred,50–99,2678,2678,0,204,1,1,1,1,Jaccard_dissimilarity_0_to_1,descriptive_dependent_pairs
geometry,within_NewTaipei,cross_hundred,100–299,7628,7628,0,206,14476.8139648,7194.43041992,22966.8256836,35178.6386719,metres_mean_aligned_point_distance,descriptive_dependent_pairs
topology,within_NewTaipei,cross_hundred,100–299,7628,7628,0,206,1,1,1,1,Jaccard_dissimilarity_0_to_1,descriptive_dependent_pairs
geometry,within_NewTaipei,cross_hundred,≥300,4967,4967,0,206,12052.2578125,6395.6015625,19495.8144531,27394.4617188,metres_mean_aligned_point_distance,descriptive_dependent_pairs
topology,within_NewTaipei,cross_hundred,≥300,4967,4967,0,206,1,1,1,1,Jaccard_dissimilarity_0_to_1,descriptive_dependent_pairs
geometry,within_Taipei,all,0,0,0,0,0,,,,,metres_mean_aligned_point_distance,descriptive_dependent_pairs
topology,within_Taipei,all,0,0,0,0,0,,,,,Jaccard_dissimilarity_0_to_1,descriptive_dependent_pairs
geometry,within_Taipei,all,1–9,624,624,0,168,4662.53857422,3026.71392822,7003.21289062,10070.9696289,metres_mean_aligned_point_distance,descriptive_dependent_pairs
topology,within_Taipei,all,1–9,624,624,0,168,1,0.988235294819,1,1,Jaccard_dissimilarity_0_to_1,descriptive_dependent_pairs
geometry,within_Taipei,all,10–49,1936,1936,0,170,5045.35986328,3360.49700928,7683.0592041,10120.6591797,metres_mean_aligned_point_distance,descriptive_dependent_pairs
topology,within_Taipei,all,10–49,1936,1936,0,170,1,0.991341501474,1,1,Jaccard_dissimilarity_0_to_1,descriptive_dependent_pairs
geometry,within_Taipei,all,50–99,1436,1436,0,166,5711.23950195,3617.44659424,8993.81762695,12085.84375,metres_mean_aligned_point_distance,descriptive_dependent_pairs
topology,within_Taipei,all,50–99,1436,1436,0,166,1,1,1,1,Jaccard_dissimilarity_0_to_1,descriptive_dependent_pairs
geometry,within_Taipei,all,100–299,3754,3754,0,170,5303.63745117,3276.29223633,8216.5534668,11107.1732422,metres_mean_aligned_point_distance,descriptive_dependent_pairs
topology,within_Taipei,all,100–299,3754,3754,0,170,1,1,1,1,Jaccard_dissimilarity_0_to_1,descriptive_dependent_pairs
geometry,within_Taipei,all,≥300,6785,6785,0,171,5563.43408203,3740.91137695,8589.7890625,11490.7912109,metres_mean_aligned_point_distance,descriptive_dependent_pairs
topology,within_Taipei,all,≥300,6785,6785,0,171,1,1,1,1,Jaccard_dissimilarity_0_to_1,descriptive_dependent_pairs
geometry,within_Taipei,same_hundred,0,0,0,0,0,,,,,metres_mean_aligned_point_distance,descriptive_dependent_pairs
topology,within_Taipei,same_hundred,0,0,0,0,0,,,,,Jaccard_dissimilarity_0_to_1,descriptive_dependent_pairs
geometry,within_Taipei,same_hundred,1–9,602,602,0,168,4591.625,2943.54168701,6886.97741699,9822.77861328,metres_mean_aligned_point_distance,descriptive_dependent_pairs
topology,within_Taipei,same_hundred,1–9,602,602,0,168,1,0.987381324172,1,1,Jaccard_dissimilarity_0_to_1,descriptive_dependent_pairs
geometry,within_Taipei,same_hundred,10–49,1700,1700,0,165,5028.75439453,3318.13897705,7621.90270996,10024.9706055,metres_mean_aligned_point_distance,descriptive_dependent_pairs
topology,within_Taipei,same_hundred,10–49,1700,1700,0,165,1,0.991868287325,1,1,Jaccard_dissimilarity_0_to_1,descriptive_dependent_pairs
geometry,within_Taipei,same_hundred,50–99,747,747,0,125,5068.87402344,3318.65283203,7840.32495117,10542.1908203,metres_mean_aligned_point_distance,descriptive_dependent_pairs
topology,within_Taipei,same_hundred,50–99,747,747,0,125,1,0.991266191006,1,1,Jaccard_dissimilarity_0_to_1,descriptive_dependent_pairs
geometry,within_Taipei,same_hundred,100–299,0,0,0,0,,,,,metres_mean_aligned_point_distance,descriptive_dependent_pairs
topology,within_Taipei,same_hundred,100–299,0,0,0,0,,,,,Jaccard_dissimilarity_0_to_1,descriptive_dependent_pairs
geometry,within_Taipei,same_hundred,≥300,0,0,0,0,,,,,metres_mean_aligned_point_distance,descriptive_dependent_pairs
topology,within_Taipei,same_hundred,≥300,0,0,0,0,,,,,Jaccard_dissimilarity_0_to_1,descriptive_dependent_pairs
geometry,within_Taipei,cross_hundred,0,0,0,0,0,,,,,metres_mean_aligned_point_distance,descriptive_dependent_pairs
topology,within_Taipei,cross_hundred,0,0,0,0,0,,,,,Jaccard_dissimilarity_0_to_1,descriptive_dependent_pairs
geometry,within_Taipei,cross_hundred,1–9,22,22,0,12,7452.3815918,5945.72131348,11472.5556641,12305.1757812,metres_mean_aligned_point_distance,descriptive_dependent_pairs
topology,within_Taipei,cross_hundred,1–9,22,22,0,12,1,1,1,1,Jaccard_dissimilarity_0_to_1,descriptive_dependent_pairs
geometry,within_Taipei,cross_hundred,10–49,236,236,0,82,5223.57348633,3642.30078125,8431.52270508,11211.8222656,metres_mean_aligned_point_distance,descriptive_dependent_pairs
topology,within_Taipei,cross_hundred,10–49,236,236,0,82,1,0.990337491035,1,1,Jaccard_dissimilarity_0_to_1,descriptive_dependent_pairs
geometry,within_Taipei,cross_hundred,50–99,689,689,0,135,6711.90820312,4136.77880859,10128.2011719,12828.2136719,metres_mean_aligned_point_distance,descriptive_dependent_pairs
topology,within_Taipei,cross_hundred,50–99,689,689,0,135,1,1,1,1,Jaccard_dissimilarity_0_to_1,descriptive_dependent_pairs
geometry,within_Taipei,cross_hundred,100–299,3754,3754,0,170,5303.63745117,3276.29223633,8216.5534668,11107.1732422,metres_mean_aligned_point_distance,descriptive_dependent_pairs
topology,within_Taipei,cross_hundred,100–299,3754,3754,0,170,1,1,1,1,Jaccard_dissimilarity_0_to_1,descriptive_dependent_pairs
geometry,within_Taipei,cross_hundred,≥300,6785,6785,0,171,5563.43408203,3740.91137695,8589.7890625,11490.7912109,metres_mean_aligned_point_distance,descriptive_dependent_pairs
topology,within_Taipei,cross_hundred,≥300,6785,6785,0,171,1,1,1,1,Jaccard_dissimilarity_0_to_1,descriptive_dependent_pairs
