comparison,city,population_method,difference_m,cells,allocated_population,F_cells,F_allocated_population
p90_minus_mean,Both,all,-2.15919766966,1,3175.07398115,0.017033239623,0.0132360691974
p90_minus_mean,Both,all,-2.09350409185,1,3572.22820299,0.0171986108814,0.0138219112081
p90_minus_mean,Both,all,-1.98704794393,1,3123.83956219,0.0173639821399,0.0143342179104
p90_minus_mean,Both,all,-1.97204868499,1,853.820718142,0.0175293533984,0.014474243692
p90_minus_mean,Both,all,-1.82469423187,1,1796.39110112,0.0176947246569,0.0147688501155
p90_minus_mean,Both,all,-1.79077109351,1,2495.34365416,0.0178600959153,0.0151780840896
p90_minus_mean,Both,all,-1.73967000122,1,4415.85947912,0.0180254671738,0.0159022808232
p90_minus_mean,Both,all,-1.70447318258,1,13.8775605702,0.0181908384323,0.0159045567299
p90_minus_mean,Both,all,-1.69843101501,1,50.8182275026,0.0183562096908,0.0159128908706
p90_minus_mean,Both,all,-1.67870444841,1,535.271130175,0.0185215809492,0.0160006748243
p90_minus_mean,Both,all,-1.62071412564,1,138.539193627,0.0186869522077,0.0160233951197
p90_minus_mean,Both,all,-1.58030680557,1,5.15391244064,0.0188523234662,0.0160242403564
p90_minus_mean,Both,all,-1.58004377965,1,1354.98024926,0.0190176947247,0.0162464558221
p90_minus_mean,Both,all,-1.54594494223,1,217.456946963,0.0191830659831,0.0162821185535
p90_minus_mean,Both,all,-1.4755183921,1,3282.99684572,0.0193484372416,0.0168205268982
p90_minus_mean,Both,all,-1.46247811798,1,65.7888558828,0.0195138085001,0.0168313162076
p90_minus_mean,Both,all,-1.42551265196,1,26.3018720957,0.0196791797586,0.0168356296895
p90_minus_mean,Both,all,-1.40093270171,1,479.025504813,0.019844551017,0.0169141894144
p90_minus_mean,Both,all,-1.36065812886,1,36.5466492832,0.0200099222755,0.01692018303
p90_minus_mean,Both,all,-1.30941366126,1,866.267101269,0.020175293534,0.0170622500066
p90_minus_mean,Both,all,-1.30728110984,1,506.566012279,0.0203406647925,0.0171453263484
p90_minus_mean,Both,all,-1.30703275548,1,2238.89890492,0.0205060360509,0.0175125036287
p90_minus_mean,Both,all,-1.27522925908,1,218.874408909,0.0206714073094,0.0175483988225
p90_minus_mean,Both,all,-1.25180896612,1,277.800276974,0.0208367785679,0.0175939578024
p90_minus_mean,Both,all,-1.22837992639,1,149.488525002,0.0210021498264,0.0176184737776
p90_minus_mean,Both,all,-1.20093068874,1,3.51709779713,0.0211675210848,0.0176190505783
p90_minus_mean,Both,all,-1.18453835328,1,769.768825697,0.0213328923433,0.0177452919299
p90_minus_mean,Both,all,-1.18261561346,1,8.93165746682,0.0214982636018,0.0177467567132
p90_minus_mean,Both,all,-1.17355569088,1,1657.28004351,0.0216636348603,0.0180185490562
p90_minus_mean,Both,all,-1.16479560975,1,651.521136288,0.0218290061187,0.0181253978998
p90_minus_mean,Both,all,-1.11639201562,1,1148.93883093,0.0219943773772,0.0183138227699
